"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"X_Simple_DownUp";"A";"approved";"158.74";"689.58";"1192.0";"871.0";"";"L2";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"2";"3";"X_Simple_DownUp";"A";"approved";"181.42";"689.58";"1192.0";"871.0";"";"L3";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"3";"3";"X_Simple_DownUp";"A";"approved";"136.06";"689.58";"1192.0";"871.0";"";"L1";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"4";"3";"X_Simple_DownUp";"A";"approved";"204.09";"689.58";"1192.0";"871.0";"";"PEN";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"5";"4";"X_Simple_DownUp";"A";"approved";"1020.47";"768.95";"1192.0";"871.0";"=414-X1L";"L101";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"X_Simple_DownUp";"A";"approved";"158.74";"689.58";"1192.0";"871.0";"";"L2";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"X_Simple_DownUp";"A";"approved";"181.42";"689.58";"1192.0";"871.0";"";"L3";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"4";"X_Simple_DownUp";"A";"approved";"136.06";"689.58";"1192.0";"871.0";"";"L1";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"4";"X_Simple_DownUp";"A";"approved";"204.09";"689.58";"1192.0";"871.0";"";"PEN";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"5";"X_Simple_DownUp";"A";"approved";"374.17";"338.09";"1192.0";"871.0";"-XV400A";"351";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";""
"11";"5";"X_Simple_DownUp";"A";"approved";"464.88";"338.09";"1192.0";"871.0";"";"354";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";""
"12";"11";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"1";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"13";"12";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"2";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"14";"13";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"3";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"15";"14";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"4";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"16";"15";"X_Simple_DownUp";"A";"approved";"748.35";"462.81";"1192.0";"871.0";"=400-XV400A";"5";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"17";"16";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"6";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"18";"17";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"7";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"19";"18";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"8";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"20";"19";"X_Simple_DownUp";"A";"approved";"952.44";"542.18";"1192.0";"871.0";"";"6";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"21";"19";"X_Simple_DownUp";"A";"approved";"929.76";"542.18";"1192.0";"871.0";"=411-XKK3";"5";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"22";"19";"X_Simple_DownUp";"A";"approved";"975.12";"542.18";"1192.0";"871.0";"";"PE";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"23";"20";"X_Simple_DownUp";"A";"approved";"204.09";"428.8";"1192.0";"871.0";"=400-XV400A";"9";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"24";"20";"X_Simple_DownUp";"A";"approved";"294.8";"428.8";"1192.0";"871.0";"=400-XV400A";"10";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"25";"20";"X_Simple_DownUp";"A";"approved";"408.19";"428.8";"1192.0";"871.0";"=400-XV400A";"11";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"26";"20";"X_Simple_DownUp";"A";"approved";"521.57";"428.8";"1192.0";"871.0";"=400-XV400A";"12";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"27";"20";"X_Simple_DownUp";"A";"approved";"634.96";"428.8";"1192.0";"871.0";"=400-XV400A";"13";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"28";"20";"X_Simple_DownUp";"A";"approved";"748.35";"428.8";"1192.0";"871.0";"=400-XV400A";"153";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"29";"21";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"14";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"30";"22";"X_Simple_DownUp";"A";"approved";"748.35";"462.81";"1192.0";"871.0";"=400-XV400A";"15";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"31";"22";"X_Simple_DownUp";"A";"approved";"521.57";"496.83";"1192.0";"871.0";"=411-XKK1";"15";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"32";"22";"X_Simple_DownUp";"A";"approved";"544.25";"496.83";"1192.0";"871.0";"";"16";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"33";"22";"X_Simple_DownUp";"A";"approved";"566.93";"496.83";"1192.0";"871.0";"";"17";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"34";"23";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"16";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"35";"24";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"17";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"36";"25";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"18";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"37";"26";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"19";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"38";"27";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"20";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"39";"28";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"22";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"40";"29";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"23";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"41";"30";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"24";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"42";"31";"X_Simple_DownUp";"A";"approved";"737.01";"462.81";"1192.0";"871.0";"=400-X???";"???";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"43";"33";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"25";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"44";"34";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"26";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"45";"35";"X_Simple_DownUp";"A";"approved";"748.35";"462.81";"1192.0";"871.0";"=400-XV400A";"27";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"46";"36";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"28";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"47";"37";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"29";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"48";"39";"X_Simple_DownUp";"A";"approved";"204.09";"428.8";"1192.0";"871.0";"=400-XV400A";"30";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"49";"39";"X_Simple_DownUp";"A";"approved";"294.8";"428.8";"1192.0";"871.0";"=400-XV400A";"31";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"50";"39";"X_Simple_DownUp";"A";"approved";"408.19";"428.8";"1192.0";"871.0";"=400-XV400A";"32";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"51";"39";"X_Simple_DownUp";"A";"approved";"521.57";"428.8";"1192.0";"871.0";"=400-XV400A";"33";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"52";"39";"X_Simple_DownUp";"A";"approved";"634.96";"428.8";"1192.0";"871.0";"=400-XV400A";"34";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"53";"39";"X_Simple_DownUp";"A";"approved";"748.35";"428.8";"1192.0";"871.0";"=400-XV400A";"154";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"54";"40";"X_Simple_DownUp";"A";"approved";"748.35";"462.81";"1192.0";"871.0";"=400-XV400A";"35";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"55";"40";"X_Simple_DownUp";"A";"approved";"532.91";"496.83";"1192.0";"871.0";"=413-XKK1";"15";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"56";"40";"X_Simple_DownUp";"A";"approved";"555.59";"496.83";"1192.0";"871.0";"";"16";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"57";"40";"X_Simple_DownUp";"A";"approved";"578.27";"496.83";"1192.0";"871.0";"";"17";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"58";"41";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"36";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"59";"42";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"37";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"60";"43";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"38";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23"
"61";"44";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"39";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24"
"62";"45";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"40";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
"63";"46";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"42";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"64";"47";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"43";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31"
"65";"48";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"44";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32"
"66";"49";"X_Simple_DownUp";"A";"approved";"521.57";"428.8";"1192.0";"871.0";"=400-XV400A";"45";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"67";"49";"X_Simple_DownUp";"A";"approved";"612.28";"428.8";"1192.0";"871.0";"=400-XV400A";"46";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"68";"49";"X_Simple_DownUp";"A";"approved";"702.99";"428.8";"1192.0";"871.0";"=400-XV400A";"47";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"69";"49";"X_Simple_DownUp";"A";"approved";"793.7";"428.8";"1192.0";"871.0";"=400-XV400A";"48";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"70";"49";"X_Simple_DownUp";"A";"approved";"884.41";"428.8";"1192.0";"871.0";"=400-XV400A";"49";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"71";"50";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"50";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"72";"50";"X_Simple_DownUp";"A";"approved";"839.06";"462.81";"1192.0";"871.0";"=400-XV400A";"51";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"73";"51";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"52";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"74";"51";"X_Simple_DownUp";"A";"approved";"839.06";"462.81";"1192.0";"871.0";"=400-XV400A";"53";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"75";"51";"X_Simple_DownUp";"A";"approved";"238.11";"587.54";"1192.0";"871.0";"";"PE";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"76";"51";"X_Simple_DownUp";"A";"approved";"170.08";"587.54";"1192.0";"871.0";"=413 +B4 -X";"M5B";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"77";"51";"X_Simple_DownUp";"A";"approved";"192.76";"587.54";"1192.0";"871.0";"";"M5B";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"78";"51";"X_Simple_DownUp";"A";"approved";"215.43";"587.54";"1192.0";"871.0";"";"M5B";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"79";"52";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"54";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"80";"53";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"55";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"81";"54";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"56";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"82";"55";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"57";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"83";"56";"X_Simple_DownUp";"A";"approved";"748.35";"462.81";"1192.0";"871.0";"=400-XV400A";"58";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"84";"57";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"59";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"85";"58";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"60";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"86";"59";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"61";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"87";"61";"X_Simple_DownUp";"A";"approved";"204.09";"428.8";"1192.0";"871.0";"=400-XV400A";"62";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
